Jet-grey
512*512,,oldRed,oldGreen,oldBlue,newRed,newGreen,newBlue
resolution,value,count,count,count,count,count,count
262144,0,0,0,0,0,0,0
262144,1,0,0,0,1,1,1
262144,2,0,0,0,2,2,2
262144,3,0,0,0,2,2,2
262144,4,0,0,0,6,6,6
262144,5,0,0,0,2,2,2
262144,6,0,0,0,3,3,3
262144,7,0,0,0,7,7,7
262144,8,0,0,0,5,5,5
262144,9,0,0,0,4,4,4
262144,10,0,0,0,9,9,9
262144,11,0,0,0,8,8,8
262144,12,0,0,0,13,13,13
262144,13,0,0,0,18,18,18
262144,14,0,0,0,12,12,12
262144,15,0,0,0,30,30,30
262144,16,4,4,4,34,34,34
262144,17,11,11,11,41,41,41
262144,18,16,16,16,36,37,38
262144,19,23,23,23,66,65,65
262144,20,53,53,53,68,70,72
262144,21,51,51,51,107,102,102
262144,22,61,61,61,95,99,97
262144,23,69,69,69,121,120,120
262144,24,92,92,92,123,115,118
262144,25,100,100,100,150,158,158
262144,26,127,127,127,170,163,157
262144,27,146,146,146,168,169,168
262144,28,157,157,157,189,199,194
262144,29,176,176,176,198,200,210
262144,30,186,186,186,212,207,204
262144,31,173,173,173,209,206,198
262144,32,177,177,177,180,184,191
262144,33,178,178,178,170,175,175
262144,34,166,166,166,186,179,177
262144,35,183,183,183,168,173,176
262144,36,172,172,172,184,174,175
262144,37,153,153,153,165,170,165
262144,38,147,147,147,157,160,169
262144,39,158,158,158,150,140,141
262144,40,131,131,131,133,144,136
262144,41,135,135,135,142,138,142
262144,42,135,135,135,136,149,143
262144,43,133,133,133,173,166,161
262144,44,140,140,140,121,125,125
262144,45,134,134,134,139,128,142
262144,46,138,138,138,127,131,127
262144,47,123,123,123,130,129,129
262144,48,137,137,137,142,133,132
262144,49,128,128,128,112,121,120
262144,50,150,150,150,127,138,131
262144,51,129,129,129,125,110,112
262144,52,120,120,120,118,126,130
262144,53,102,102,102,131,122,121
262144,54,130,130,130,131,138,144
262144,55,117,117,117,145,142,137
262144,56,145,145,145,149,146,159
262144,57,145,145,145,172,175,154
262144,58,139,139,139,166,170,180
262144,59,146,146,146,184,176,180
262144,60,152,152,152,170,176,174
262144,61,174,174,174,205,208,206
262144,62,180,180,180,215,197,206
262144,63,230,230,230,217,233,223
262144,64,219,219,219,264,250,248
262144,65,229,229,229,253,273,272
262144,66,275,275,275,312,299,298
262144,67,267,267,267,336,329,335
262144,68,300,300,300,331,333,335
262144,69,330,330,330,356,357,354
262144,70,389,389,389,410,417,405
262144,71,430,430,430,429,433,454
262144,72,414,414,414,470,475,472
262144,73,467,467,467,464,449,442
262144,74,450,450,450,482,490,497
262144,75,441,441,441,483,472,478
262144,76,468,468,468,446,454,452
262144,77,488,488,488,517,510,511
262144,78,482,482,482,500,504,477
262144,79,480,480,480,505,525,513
262144,80,512,512,512,487,466,506
262144,81,495,495,495,496,506,491
262144,82,496,496,496,538,536,544
262144,83,488,488,488,560,556,547
262144,84,541,541,541,563,572,584
262144,85,551,551,551,595,572,576
262144,86,628,628,628,660,682,670
262144,87,652,652,652,770,753,757
262144,88,715,715,715,739,764,748
262144,89,779,779,779,780,748,771
262144,90,754,754,754,776,804,775
262144,91,796,796,796,812,810,800
262144,92,759,759,759,830,822,840
262144,93,805,805,805,809,798,827
262144,94,840,840,840,779,794,775
262144,95,882,882,882,826,835,837
262144,96,882,882,882,828,819,815
262144,97,800,800,800,786,793,779
262144,98,868,868,868,840,818,846
262144,99,880,880,880,860,857,820
262144,100,873,873,873,785,795,838
262144,101,913,913,913,817,827,811
262144,102,864,864,864,839,824,829
262144,103,840,840,840,809,817,799
262144,104,843,843,843,793,780,798
262144,105,796,796,796,817,813,799
262144,106,805,805,805,801,804,832
262144,107,890,890,890,801,833,812
262144,108,842,842,842,822,809,786
262144,109,845,845,845,804,801,815
262144,110,853,853,853,828,830,844
262144,111,837,837,837,806,807,807
262144,112,845,845,845,808,816,818
262144,113,878,878,878,843,821,811
262144,114,866,866,866,803,796,821
