Jet
512*512,,oldRed,oldGreen,oldBlue,newRed,newGreen,newBlue
resolution,value,count,count,count,count,count,count
262144,0,0,512,0,1,400,0
262144,1,0,1,0,2,160,0
262144,2,0,7,0,0,27,2
262144,3,0,17,0,2,52,0
262144,4,0,24,0,1,50,0
262144,5,0,34,0,1,91,0
262144,6,0,51,0,2,78,1
262144,7,0,65,0,2,76,1
262144,8,0,55,0,1,106,0
262144,9,0,80,0,4,113,0
262144,10,0,75,0,5,161,0
262144,11,0,99,0,2,118,0
262144,12,0,134,0,3,158,0
262144,13,0,130,0,6,167,3
262144,14,0,157,0,4,170,0
262144,15,0,175,0,9,172,1
262144,16,0,173,0,13,188,0
262144,17,0,166,0,12,169,2
262144,18,0,167,0,14,186,1
262144,19,0,176,0,12,159,0
262144,20,0,153,0,23,177,3
262144,21,0,153,0,23,177,0
262144,22,2,152,6,20,175,7
262144,23,11,136,4,33,156,6
262144,24,4,166,7,37,157,7
262144,25,19,136,7,48,166,7
262144,26,21,128,11,59,173,12
262144,27,42,139,10,72,188,11
262144,28,37,147,6,83,177,6
262144,29,59,153,25,93,216,26
262144,30,55,191,18,114,204,18
262144,31,63,234,23,123,247,23
262144,32,64,239,39,122,271,40
262144,33,103,284,21,141,291,23
262144,34,91,279,30,145,297,31
262144,35,110,340,21,169,313,25
262144,36,130,315,21,171,311,22
262144,37,161,329,11,183,297,16
262144,38,158,309,14,195,298,17
262144,39,178,341,6,195,290,6
262144,40,203,300,6,184,322,10
262144,41,182,279,4,207,318,4
262144,42,203,241,2,211,237,6
262144,43,208,247,4,218,267,5
262144,44,215,216,1,197,245,9
262144,45,212,204,2,224,211,9
262144,46,207,216,1,181,252,9
262144,47,202,218,3,207,236,8
262144,48,233,234,0,211,244,5
262144,49,204,248,0,230,224,13
262144,50,210,205,1,178,250,5
262144,51,180,237,1,184,267,11
262144,52,179,209,1,193,224,13
262144,53,204,226,1,205,247,15
262144,54,166,241,2,186,274,20
262144,55,158,230,2,187,258,13
262144,56,167,241,1,160,297,21
262144,57,172,228,1,158,280,25
262144,58,158,250,1,155,265,18
262144,59,154,253,1,175,300,25
262144,60,157,305,6,198,296,29
262144,61,164,276,3,204,311,30
262144,62,157,305,3,197,322,24
262144,63,171,353,9,184,316,50
262144,64,178,290,7,214,332,54
262144,65,187,340,11,239,362,61
262144,66,211,304,14,251,329,59
262144,67,242,367,34,313,335,80
262144,68,252,349,26,258,372,99
262144,69,234,322,38,311,357,111
262144,70,303,397,64,325,384,152
262144,71,336,409,70,348,382,184
262144,72,325,395,110,341,446,187
262144,73,356,410,160,383,436,211
262144,74,367,417,196,433,432,259
262144,75,439,439,219,455,416,267
262144,76,438,475,305,503,468,341
262144,77,476,457,315,509,472,374
262144,78,509,475,414,549,521,392
262144,79,575,505,461,515,519,392
262144,80,552,505,457,607,529,450
262144,81,621,548,490,621,587,429
262144,82,607,535,427,609,564,402
262144,83,651,551,585,658,546,505
262144,84,623,574,481,672,588,419
262144,85,752,581,454,668,558,455
262144,86,731,594,503,725,622,434
262144,87,726,629,452,728,581,420
262144,88,767,657,495,770,600,369
262144,89,773,617,364,752,644,345
262144,90,849,679,328,784,683,340
262144,91,797,703,332,795,677,322
262144,92,860,733,308,842,698,288
262144,93,825,674,221,814,723,279
262144,94,870,705,235,825,699,240
262144,95,781,732,210,863,742,234
262144,96,927,788,223,835,685,213
262144,97,872,735,201,867,764,208
262144,98,841,682,180,823,680,210
262144,99,865,739,189,875,692,207
262144,100,921,764,201,795,663,177
262144,101,870,670,182,777,677,166
262144,102,889,706,177,850,703,170
262144,103,886,734,183,797,719,174
262144,104,866,726,199,801,657,176
262144,105,839,717,197,736,706,177
262144,106,805,693,174,751,653,146
262144,107,753,679,159,768,657,186
262144,108,794,726,196,737,680,176
262144,109,748,665,151,776,654,157
262144,110,724,645,161,697,682,192
262144,111,672,644,129,708,661,201
262144,112,751,656,177,656,640,178
262144,113,724,678,169,651,651,208
262144,114,635,623,164,667,626,196
262144,115,685,658,180,624,631,203
262144,116,633,654,191,653,626,196
262144,117,630,635,167,580,652,205
262144,118,619,683,181,623,622,231
262144,119,538,657,173,583,625,237
262144,120,583,739,232,580,605,228
262144,121,575,668,226,544,676,239
262144,122,565,608,197,495,643,263
262144,123,515,668,279,509,640,264
262144,124,512,662,314,475,609,316
262144,125,547,676,258,495,566,337
262144,126,506,569,324,508,606,364
262144,127,431,725,319,473,573,341
262144,128,523,683,366,498,562,376
262144,129,436,579,396,465,559,412
262144,130,504,528,404,463,519,451
262144,131,489,560,446,462,504,419
262144,132,471,578,427,491,525,450
262144,133,489,496,438,485,449,477
262144,134,531,526,484,501,478,428
262144,135,535,485,523,522,450,498
262144,136,532,482,524,534,502,526
262144,137,473,458,581,521,463,568
262144,138,525,441,534,554,444,612
262144,139,574,408,601,564,408,612
262144,140,586,446,684,544,449,680
262144,141,595,467,587,549,458,654
262144,142,566,423,720,604,440,716
262144,143,579,459,782,529,423,741
262144,144,593,406,752,584,415,783
262144,145,584,399,843,564,442,793
262144,146,555,410,763,547,397,832
262144,147,626,461,940,607,417,942
262144,148,579,456,924,556,438,875
262144,149,535,414,1015,518,434,917
262144,150,610,442,1030,602,437,1053
262144,151,543,462,985,535,420,1048
262144,152,550,475,1286,556,437,1047
262144,153,589,462,1154,555,446,1092
262144,154,557,432,1190,593,454,1089
262144,155,562,477,1298,541,423,1257
262144,156,619,467,1425,576,454,1249
262144,157,596,445,1369,588,462,1276
262144,158,655,500,1468,565,474,1312
262144,159,609,507,1541,559,480,1203
262144,160,639,521,1365,605,471,1234
262144,161,670,513,1404,570,453,1248
262144,162,629,488,1307,591,481,1204
262144,163,650,537,1385,635,466,1222
262144,164,654,499,1191,655,463,1205
262144,165,705,494,1143,651,462,1144
262144,166,699,541,1191,691,503,1138
262144,167,696,546,1162,726,513,1060
262144,168,723,537,1085,663,590,1124
262144,169,787,590,1088,748,557,1006
262144,170,795,627,914,701,561,964
262144,171,803,615,898,845,539,977
262144,172,863,656,955,822,616,943
262144,173,884,577,835,901,552,892
262144,174,951,665,884,980,591,893
262144,175,938,623,722,1048,662,850
262144,176,1143,740,943,1093,687,876
262144,177,1180,720,815,1139,730,844
262144,178,1243,734,737,1269,696,862
262144,179,1330,778,881,1281,789,820
262144,180,1404,840,789,1364,823,884
262144,181,1519,839,846,1646,866,945
262144,182,1684,912,915,1678,968,933
262144,183,1732,936,947,1783,1038,1038
262144,184,2200,1148,1290,1947,1055,1119
262144,185,2137,1160,1197,2030,1195,1214
262144,186,2327,1237,1247,2355,1298,1299
262144,187,2537,1440,1402,2442,1406,1453
262144,188,2716,1704,1619,2608,1547,1476
262144,189,2993,1720,1523,2832,1728,1672
262144,190,3068,1885,1795,3120,1878,1901
262144,191,3151,1921,1863,3321,2051,2035
262144,192,4053,2446,2408,3596,2219,2259
262144,193,3985,2447,2474,3826,2434,2457
262144,194,4230,2579,2499,4013,2664,2836
262144,195,4592,3139,3280,4317,2825,3043
262144,196,4754,3237,3384,4630,3191,3488
262144,197,4955,3459,3674,4835,3528,3882
262144,198,5326,3947,4517,4996,3844,4315
262144,199,5403,4418,5340,5223,4189,5053
262144,200,5668,4804,5724,5354,4546,5484
262144,201,5517,5123,6489,5351,4777,5974
262144,202,5790,5281,6885,5744,5134,6615
262144,203,5611,5671,7623,6010,5206,7305
262144,204,6190,6102,9039,6166,5668,7697
262144,205,6559,5960,8494,6635,5741,8526
262144,206,7291,6009,9220,6932,6005,8927
262144,207,7745,6355,9998,7069,6222,9315
262144,208,7845,6450,10338,6999,6275,9744
262144,209,6768,6482,10496,6507,6734,9464
262144,210,5674,6837,9334,5956,6898,9179
262144,211,4635,7876,10077,5249,7248,8882
262144,212,4487,7776,8076,4954,6991,8252
262144,213,4518,7061,6872,4773,6819,7656
262144,214,5033,6392,6376,4785,6263,6902
262144,215,5034,5272,5468,5010,5599,6192
262144,216,5562,4988,6221,5272,5215,6020
262144,217,4659,4478,5170,4934,4762,5757
262144,218,4439,4476,4417,4514,4671,5140
262144,219,3463,4525,4326,3784,4624,4241
262144,220,2489,4937,3402,2786,4707,3655
262144,221,1078,4331,1364,1684,4909,2257
262144,222,338,4420,534,837,4525,1154
262144,223,161,4327,147,474,4323,539
262144,224,171,4062,64,325,3863,270
262144,225,98,1881,15,258,2555,171
262144,226,59,382,5,179,1158,125
262144,227,21,181,1,125,513,90
262144,228,13,94,0,112,315,69
262144,229,1,59,0,94,207,59
262144,230,1,35,0,66,177,60
262144,231,0,24,0,47,144,51
262144,232,0,13,0,47,142,58
262144,233,0,5,0,48,104,45
262144,234,0,2,0,42,84,26
262144,235,0,0,0,32,74,34
262144,236,0,0,0,37,71,26
262144,237,0,0,0,30,59,21
262144,238,0,0,0,26,46,14
262144,239,0,0,0,29,40,11
262144,240,0,0,0,24,53,16
262144,241,0,0,0,26,40,20
262144,242,0,0,0,18,46,20
262144,243,0,0,0,24,44,12
262144,244,0,0,0,17,45,14
262144,245,0,0,0,11,36,6
262144,246,0,0,0,16,34,9
262144,247,0,0,0,15,41,3
262144,248,0,0,0,10,50,4
262144,249,0,0,0,9,34,6
262144,250,0,0,0,4,25,8
262144,251,0,0,0,4,29,6
262144,252,0,0,0,3,27,7
262144,253,0,0,0,3,21,5
262144,254,0,0,0,6,20,10
262144,255,0,0,0,2,20,5
