Lena-grey
512*512,,oldRed,oldGreen,oldBlue,newRed,newGreen,newBlue
resolution,value,count,count,count,count,count,count
262144,0,0,0,0,0,0,0
262144,1,0,0,0,0,0,0
262144,2,0,0,0,0,0,0
262144,3,0,0,0,0,0,0
262144,4,0,0,0,0,0,0
262144,5,0,0,0,0,0,0
262144,6,0,0,0,0,0,0
262144,7,0,0,0,0,0,0
262144,8,0,0,0,0,0,0
262144,9,0,0,0,0,0,0
262144,10,0,0,0,3,3,3
262144,11,0,0,0,0,0,0
262144,12,0,0,0,2,2,2
262144,13,0,0,0,2,2,2
262144,14,0,0,0,4,4,4
262144,15,0,0,0,5,5,5
262144,16,0,0,0,4,4,4
262144,17,0,0,0,6,6,6
262144,18,0,0,0,11,11,11
262144,19,0,0,0,8,8,8
262144,20,0,0,0,10,10,10
262144,21,0,0,0,11,11,11
262144,22,0,0,0,26,26,26
262144,23,0,0,0,34,34,34
262144,24,1,1,1,54,54,54
262144,25,5,5,5,73,73,73
262144,26,14,14,14,92,93,92
262144,27,25,25,25,118,118,117
262144,28,38,38,38,144,145,146
262144,29,84,84,84,206,199,206
262144,30,125,125,125,263,271,267
262144,31,165,165,165,335,336,333
262144,32,211,211,211,398,400,406
262144,33,261,261,261,526,513,512
262144,34,364,364,364,558,565,566
262144,35,468,468,468,686,680,677
262144,36,581,581,581,775,773,775
262144,37,697,697,697,923,905,918
262144,38,846,846,846,937,974,957
262144,39,1025,1025,1025,1156,1151,1145
262144,40,1128,1128,1128,1340,1334,1339
262144,41,1403,1403,1403,1416,1428,1425
262144,42,1569,1569,1569,1541,1540,1554
262144,43,1734,1734,1734,1659,1647,1612
262144,44,1784,1784,1784,1639,1640,1662
262144,45,2023,2023,2023,1735,1764,1761
262144,46,2032,2032,2032,1848,1810,1803
262144,47,2028,2028,2028,1798,1837,1806
262144,48,2068,2068,2068,1817,1785,1803
262144,49,2146,2146,2146,1754,1796,1812
262144,50,1982,1982,1982,1846,1783,1768
262144,51,2019,2019,2019,1710,1730,1740
262144,52,1852,1852,1852,1660,1651,1681
262144,53,1780,1780,1780,1663,1677,1672
262144,54,1679,1679,1679,1602,1595,1558
262144,55,1642,1642,1642,1512,1486,1520
262144,56,1528,1528,1528,1370,1431,1429
262144,57,1346,1346,1346,1352,1329,1313
262144,58,1230,1230,1230,1241,1242,1241
262144,59,1267,1267,1267,1192,1177,1216
262144,60,1063,1063,1063,1135,1151,1115
262144,61,972,972,972,1025,1048,1046
262144,62,942,942,942,1072,1012,1044
262144,63,938,938,938,910,973,924
262144,64,870,870,870,926,896,925
262144,65,842,842,842,864,849,865
262144,66,757,757,757,859,877,848
262144,67,798,798,798,817,820,831
262144,68,781,781,781,837,833,829
262144,69,803,803,803,820,815,823
262144,70,856,856,856,835,818,812
262144,71,814,814,814,803,832,839
262144,72,772,772,772,792,783,785
262144,73,845,845,845,792,795,779
262144,74,907,907,907,826,811,825
262144,75,907,907,907,810,811,820
262144,76,835,835,835,887,884,874
262144,77,899,899,899,920,949,935
262144,78,942,942,942,916,927,927
262144,79,947,947,947,923,882,917
262144,80,912,912,912,937,955,927
262144,81,883,883,883,961,957,964
262144,82,913,913,913,947,952,955
262144,83,923,923,923,1026,1017,1018
262144,84,929,929,929,960,960,963
262144,85,978,978,978,1002,967,987
262144,86,1064,1064,1064,1007,1061,1037
262144,87,981,981,981,1086,1090,1067
262144,88,1138,1138,1138,1083,1061,1077
262144,89,1119,1119,1119,1062,1104,1053
262144,90,1132,1132,1132,1235,1175,1225
262144,91,1178,1178,1178,1200,1214,1215
262144,92,1288,1288,1288,1294,1318,1315
262144,93,1319,1319,1319,1407,1398,1358
262144,94,1453,1453,1453,1503,1463,1530
262144,95,1583,1583,1583,1532,1559,1539
262144,96,1720,1720,1720,1630,1636,1623
262144,97,1796,1796,1796,1717,1735,1742
262144,98,2018,2018,2018,1819,1798,1820
262144,99,1962,1962,1962,1832,1812,1774
262144,100,1935,1935,1935,1881,1871,1887
