Lena
512*512,,oldRed,oldGreen,oldBlue,newRed,newGreen,newBlue
resolution,value,count,count,count,count,count,count
262144,0,0,0,0,0,67,0
262144,1,0,0,0,0,94,0
262144,2,0,0,0,0,164,0
262144,3,0,11,0,0,186,0
262144,4,0,65,0,0,265,0
262144,5,0,111,0,0,341,0
262144,6,0,164,0,0,447,0
262144,7,0,261,0,0,539,0
262144,8,0,308,7,0,621,7
262144,9,0,431,0,0,718,0
262144,10,0,537,0,0,759,0
262144,11,0,682,0,0,956,0
262144,12,0,846,1,0,974,1
262144,13,0,912,0,0,1139,1
262144,14,0,1074,0,0,1238,0
262144,15,0,1350,0,0,1365,0
262144,16,0,1480,0,0,1482,0
262144,17,0,1681,0,0,1590,1
262144,18,0,1621,0,0,1579,2
262144,19,0,2064,0,0,1681,3
262144,20,0,1835,0,0,1694,2
262144,21,0,2048,0,0,1691,1
262144,22,0,1989,0,0,1792,2
262144,23,0,1911,0,0,1715,2
262144,24,0,2258,0,0,1732,2
262144,25,0,2129,0,0,1720,4
262144,26,0,1748,0,0,1730,5
262144,27,0,1776,0,0,1683,3
262144,28,0,1850,0,0,1592,6
262144,29,0,1687,0,0,1481,7
262144,30,0,1605,0,0,1501,5
262144,31,0,1661,0,0,1424,7
262144,32,0,1355,0,0,1468,8
262144,33,0,1360,0,0,1288,9
262144,34,0,1189,0,0,1248,14
262144,35,0,1278,0,0,1244,10
262144,36,0,1062,0,0,1164,13
262144,37,0,1027,0,0,1208,23
262144,38,0,1052,0,0,1055,25
262144,39,0,1084,0,0,1101,28
262144,40,0,1013,0,0,1091,33
262144,41,0,1026,3,0,1011,52
262144,42,0,915,2,0,999,84
262144,43,0,926,7,1,1021,101
262144,44,0,1029,14,0,986,111
262144,45,0,1013,24,0,972,192
262144,46,0,1023,46,2,1038,222
262144,47,0,875,67,1,1003,302
262144,48,0,1110,108,1,1048,360
262144,49,0,1057,137,2,1045,494
262144,50,0,862,254,2,1030,548
262144,51,0,1120,347,1,1110,731
262144,52,0,927,483,5,1017,903
262144,53,0,1073,626,5,1106,951
262144,54,1,1069,785,7,1151,1121
262144,55,0,1004,1135,12,1208,1374
262144,56,1,1275,1262,15,1170,1518
262144,57,1,1274,1631,11,1282,1732
262144,58,1,1129,1756,26,1346,1888
262144,59,8,1266,2201,25,1427,2009
262144,60,6,1495,2355,33,1521,2066
262144,61,10,1548,2514,45,1506,2294
262144,62,9,1591,2767,45,1583,2283
262144,63,20,2046,2943,49,1653,2558
262144,64,37,1706,2958,72,1653,2546
262144,65,32,1998,2921,70,1660,2600
262144,66,41,1704,2876,104,1602,2650
262144,67,53,2022,2907,118,1704,2696
262144,68,74,1705,2869,128,1773,2829
262144,69,103,1800,2873,174,1618,2818
262144,70,132,1674,2899,207,1653,2821
262144,71,179,1766,3043,227,1692,2943
262144,72,193,1593,2919,275,1605,3070
262144,73,242,1711,3041,274,1597,3223
262144,74,238,1474,3107,363,1626,3014
262144,75,336,1491,3238,440,1579,3188
262144,76,386,1566,3224,460,1537,3070
262144,77,404,1456,3140,528,1534,3174
262144,78,483,1445,3218,605,1504,3157
262144,79,607,1524,3189,641,1507,3224
262144,80,628,1371,3004,761,1445,3070
262144,81,771,1545,3030,777,1462,2997
262144,82,785,1278,3078,889,1485,3059
262144,83,1001,1606,3008,977,1514,2945
262144,84,1016,1364,2787,1066,1492,3076
262144,85,1177,1475,2834,1157,1602,2959
262144,86,1269,1513,2960,1215,1635,2866
262144,87,1332,1537,2962,1314,1527,2999
262144,88,1446,1813,2940,1347,1692,2928
262144,89,1487,1863,2911,1363,1770,2927
262144,90,1457,1681,2949,1504,1734,2992
262144,91,1574,1885,3107,1473,1808,2848
262144,92,1585,2170,2983,1441,1802,2894
262144,93,1591,1907,2922,1455,1870,2866
262144,94,1557,2008,3045,1504,1920,2761
262144,95,1569,1948,3017,1447,1943,2821
262144,96,1660,2325,2738,1474,1939,2768
262144,97,1648,2094,2826,1439,1922,2770
262144,98,1420,1713,2700,1472,1848,2726
262144,99,1559,2084,2818,1361,1884,2652
262144,100,1418,1670,2710,1430,1764,2614
262144,101,1384,1811,2618,1334,1828,2687
262144,102,1319,1720,2559,1262,1691,2632
262144,103,1342,1743,2777,1195,1754,2544
262144,104,1156,1603,2611,1123,1644,2697
262144,105,1120,1693,2643,1017,1685,2604
262144,106,955,1386,2597,992,1672,2489
262144,107,969,1515,2582,973,1548,2596
262144,108,828,1639,2622,938,1517,2553
262144,109,782,1542,2560,833,1592,2609
262144,110,752,1588,2538,786,1660,2600
262144,111,737,1540,2558,701,1545,2537
262144,112,719,1784,2531,696,1651,2501
262144,113,700,1751,2517,685,1603,2614
262144,114,628,1425,2660,651,1677,2640
262144,115,673,1836,2641,632,1629,2633
262144,116,587,1604,2756,575,1615,2697
262144,117,617,1565,2867,591,1593,2784
262144,118,610,1581,2872,598,1625,2742
262144,119,592,1507,3066,564,1681,2703
262144,120,557,1762,2912,556,1607,2651
262144,121,593,1769,3011,570,1638,2658
262144,122,552,1448,2813,531,1782,2695
262144,123,566,1654,2909,601,1817,2603
262144,124,582,1872,2780,596,1728,2445
262144,125,559,1914,2745,570,1883,2383
262144,126,571,1844,2527,559,1871,2205
262144,127,520,2103,2097,569,1933,2136
262144,128,664,1925,2202,607,1991,2035
262144,129,650,2023,1984,609,2028,1969
262144,130,618,1811,1854,615,1912,1842
262144,131,730,2206,1756,627,2025,1786
262144,132,594,1907,1499,684,1943,1647
262144,133,667,1968,1331,649,1966,1517
262144,134,675,2026,1237,686,1967,1392
262144,135,685,2096,1146,681,1895,1315
262144,136,771,2032,1027,639,1867,1237
262144,137,715,2029,1015,701,1758,1172
262144,138,667,1730,874,721,1819,1094
262144,139,740,1607,905,763,1696,983
262144,140,744,1666,839,724,1613,992
262144,141,766,1454,866,755,1542,903
262144,142,765,1341,808,778,1339,896
262144,143,772,1354,849,751,1386,855
262144,144,817,1247,801,734,1304,849
262144,145,817,1213,870,770,1242,868
262144,146,744,942,791,792,1131,853
262144,147,806,1152,801,818,1117,805
262144,148,760,931,796,754,1058,798
262144,149,777,1080,770,815,954,807
262144,150,812,981,757,825,946,783
