Pepper-grey
512*512,,oldRed,oldGreen,oldBlue,newRed,newGreen,newBlue
resolution,value,count,count,count,count,count,count
262144,0,4,4,4,70,71,71
262144,1,8,8,8,116,115,115
262144,2,25,25,25,160,159,160
262144,3,73,73,73,237,235,235
262144,4,110,110,110,290,291,288
262144,5,187,187,187,353,353,360
262144,6,394,394,394,492,488,489
262144,7,400,400,400,639,637,632
262144,8,632,632,632,642,654,641
262144,9,960,960,960,757,741,761
262144,10,852,852,852,909,912,894
262144,11,867,867,867,879,877,883
262144,12,1156,1156,1156,937,971,943
262144,13,981,981,981,1049,1024,1045
262144,14,877,877,877,1012,998,1016
262144,15,1167,1167,1167,952,944,946
262144,16,892,892,892,967,988,988
262144,17,972,972,972,936,929,915
262144,18,1099,1099,1099,913,948,932
262144,19,898,898,898,948,910,940
262144,20,859,859,859,872,893,868
262144,21,885,885,885,805,795,841
262144,22,780,780,780,753,766,744
262144,23,733,733,733,737,713,720
262144,24,747,747,747,707,709,677
262144,25,655,655,655,694,703,721
262144,26,688,688,688,645,629,610
262144,27,662,662,662,648,665,668
262144,28,638,638,638,618,618,626
262144,29,625,625,625,609,618,595
262144,30,611,611,611,600,590,651
262144,31,579,579,579,585,563,532
262144,32,540,540,540,460,490,490
262144,33,500,500,500,542,524,531
262144,34,484,484,484,464,478,467
262144,35,462,462,462,496,522,515
262144,36,454,454,454,521,500,509
262144,37,393,393,393,467,451,446
262144,38,427,427,427,441,445,446
262144,39,418,418,418,455,464,456
262144,40,419,419,419,498,483,507
262144,41,459,459,459,490,516,482
262144,42,456,456,456,516,503,521
262144,43,463,463,463,486,476,490
262144,44,456,456,456,507,510,505
262144,45,537,537,537,491,506,488
262144,46,500,500,500,562,546,567
262144,47,548,548,548,588,589,579
262144,48,580,580,580,627,634,631
262144,49,656,656,656,683,668,677
262144,50,679,679,679,662,679,668
262144,51,719,719,719,689,697,679
262144,52,773,773,773,722,707,718
262144,53,822,822,822,789,785,793
262144,54,871,871,871,795,795,793
262144,55,861,861,861,781,790,787
262144,56,855,855,855,831,848,843
262144,57,830,830,830,885,860,871
262144,58,934,934,934,854,855,867
262144,59,861,861,861,846,843,825
262144,60,897,897,897,894,912,919
262144,61,932,932,932,923,893,908
262144,62,951,951,951,859,885,880
262144,63,877,877,877,853,868,843
262144,64,923,923,923,950,953,952
262144,65,903,903,903,909,907,920
262144,66,904,904,904,966,921,942
262144,67,854,854,854,936,952,941
262144,68,944,944,944,948,980,977
262144,69,951,951,951,988,963,981
262144,70,881,881,881,986,973,954
262144,71,908,908,908,1065,1084,1067
262144,72,965,965,965,1115,1081,1122
262144,73,1027,1027,1027,1071,1101,1076
262144,74,1083,1083,1083,1182,1169,1180
262144,75,1115,1115,1115,1250,1269,1274
262144,76,1230,1230,1230,1368,1366,1360
262144,77,1361,1361,1361,1314,1352,1329
262144,78,1400,1400,1400,1474,1429,1443
262144,79,1559,1559,1559,1569,1574,1581
262144,80,1746,1746,1746,1598,1599,1551
262144,81,1748,1748,1748,1715,1729,1749
262144,82,1812,1812,1812,1768,1792,1805
262144,83,1939,1939,1939,1930,1886,1917
262144,84,2067,2067,2067,1894,1919,1916
262144,85,1996,1996,1996,2031,1979,1985
262144,86,2125,2125,2125,2111,2111,2095
262144,87,2276,2276,2276,2113,2144,2158
262144,88,2247,2247,2247,2147,2165,2138
262144,89,2375,2375,2375,2245,2216,2245
262144,90,2397,2397,2397,2438,2425,2425
262144,91,2404,2404,2404,2412,2443,2436
262144,92,2592,2592,2592,2377,2412,2418
262144,93,2630,2630,2630,2508,2435,2448
262144,94,2594,2594,2594,2472,2477,2454
262144,95,2683,2683,2683,2412,2407,2429
262144,96,2722,2722,2722,2359,2429,2363
262144,97,2642,2642,2642,2320,2241,2348
262144,98,2478,2478,2478,2252,2298,2215
262144,99,2370,2370,2370,2157,2151,2162
262144,100,2057,2057,2057,2060,2067,2037
262144,101,1892,1892,1892,1915,1864,1915
262144,102,1700,1700,1700,1733,1773,1757
262144,103,1567,1567,1567,1696,1720,1707
262144,104,1469,1469,1469,1599,1562,1570
262144,105,1292,1292,1292,1478,1491,1450
262144,106,1285,1285,1285,1335,1370,1421
262144,107,1193,1193,1193,1344,1271,1266
262144,108,1251,1251,1251,1169,1219,1197
262144,109,1134,1134,1134,1207,1179,1206
262144,110,1094,1094,1094,1140,1161,1165
262144,111,1068,1068,1068,1110,1083,1099
262144,112,1112,1112,1112,1114,1095,1078
262144,113,1043,1043,1043,1046,1085,1065
262144,114,1041,1041,1041,1072,1070,1071
262144,115,1048,1048,1048,1053,1069,1056
262144,116,1060,1060,1060,986,978,1018
262144,117,1011,1011,1011,1031,1008,975
262144,118,1015,1015,1015,999,993,1023
262144,119,1016,1016,1016,1000,1035,1007
262144,120,1006,1006,1006,981,974,996
262144,121,1019,1019,1019,999,1005,980
262144,122,991,991,991,1003,981,983
262144,123,991,991,991,1029,1047,1066
262144,124,1017,1017,1017,996,980,999
262144,125,1004,1004,1004,978,1000,998
262144,126,1010,1010,1010,1018,1005,964
262144,127,978,978,978,1057,1048,1096
262144,128,1019,1019,1019,1104,1095,1053
262144,129,1033,1033,1033,1049,1054,1063
262144,130,1064,1064,1064,1079,1116,1097
262144,131,1045,1045,1045,1136,1134,1168
262144,132,1056,1056,1056,1108,1100,1100
262144,133,1113,1113,1113,1181,1217,1173
262144,134,1212,1212,1212,1269,1207,1230
262144,135,1248,1248,1248,1208,1223,1211
262144,136,1245,1245,1245,1285,1293,1298
262144,137,1362,1362,1362,1318,1315,1314
262144,138,1364,1364,1364,1320,1311,1335
262144,139,1456,1456,1456,1315,1319,1274
262144,140,1418,1418,1418,1383,1363,1417
262144,141,1429,1429,1429,1381,1398,1377
262144,142,1496,1496,1496,1432,1435,1447
262144,143,1480,1480,1480,1509,1503,1481
262144,144,1597,1597,1597,1518,1508,1530
262144,145,1547,1547,1547,1616,1650,1603
262144,146,1558,1558,1558,1618,1591,1636
262144,147,1575,1575,1575,1576,1600,1575
262144,148,1662,1662,1662,1587,1585,1584
262144,149,1677,1677,1677,1634,1615,1652
262144,150,1695,1695,1695,1635,1622,1615
262144,151,1794,1794,1794,1695,1739,1715
262144,152,1716,1716,1716,1680,1670,1655
262144,153,1664,1664,1664,1765,1770,1742
262144,154,1695,1695,1695,1789,1764,1830
262144,155,1717,1717,1717,1759,1742,1759
262144,156,1754,1754,1754,1669,1659,1639
262144,157,1878,1878,1878,1738,1790,1774
262144,158,1815,1815,1815,1836,1802,1828
262144,159,1825,1825,1825,1785,1767,1745
262144,160,1904,1904,1904,1780,1811,1803
262144,161,1873,1873,1873,1771,1766,1765
262144,162,1807,1807,1807,1778,1797,1793
262144,163,1854,1854,1854,1724,1718,1730
262144,164,1828,1828,1828,1688,1688,1695
262144,165,1838,1838,1838,1800,1770,1757
262144,166,1782,1782,1782,1590,1619,1641
262144,167,1764,1764,1764,1775,1773,1745
262144,168,1653,1653,1653,1624,1620,1631
262144,169,1597,1597,1597,1633,1645,1630
262144,170,1648,1648,1648,1649,1658,1673
262144,171,1594,1594,1594,1615,1594,1578
262144,172,1579,1579,1579,1589,1576,1591
262144,173,1582,1582,1582,1665,1688,1705
262144,174,1675,1675,1675,1631,1614,1581
262144,175,1630,1630,1630,1674,1681,1711
262144,176,1731,1731,1731,1644,1659,1636
262144,177,1570,1570,1570,1714,1674,1700
262144,178,1678,1678,1678,1596,1633,1642
262144,179,1688,1688,1688,1670,1700,1661
262144,180,1645,1645,1645,1745,1729,1700
262144,181,1597,1597,1597,1654,1625,1637
262144,182,1711,1711,1711,1761,1770,1812
262144,183,1739,1739,1739,1764,1762,1778
262144,184,1784,1784,1784,1752,1728,1734
262144,185,1888,1888,1888,1784,1818,1807
262144,186,1962,1962,1962,1869,1848,1849
262144,187,2082,2082,2082,2045,1998,2020
262144,188,2104,2104,2104,1966,1992,1952
262144,189,2097,2097,2097,1889,1898,1907
262144,190,2057,2057,2057,1818,1880,1843
262144,191,1913,1913,1913,1782,1733,1747
262144,192,1732,1732,1732,1663,1649,1684
262144,193,1581,1581,1581,1550,1586,1593
262144,194,1317,1317,1317,1431,1403,1384
262144,195,1142,1142,1142,1254,1236,1220
262144,196,980,980,980,1146,1138,1192
262144,197,904,904,904,1016,1055,1033
262144,198,775,775,775,936,923,901
262144,199,755,755,755,814,830,806
262144,200,709,709,709,691,732,743
262144,201,662,662,662,781,741,762
262144,202,629,629,629,699,687,703
262144,203,618,618,618,639,665,635
262144,204,630,630,630,615,608,602
262144,205,619,619,619,628,613,611
262144,206,544,544,544,591,602,610
262144,207,568,568,568,592,582,594
262144,208,591,591,591,623,617,585
262144,209,594,594,594,594,623,634
262144,210,568,568,568,609,593,587
262144,211,638,638,638,602,591,624
262144,212,642,642,642,567,599,590
262144,213,571,571,571,568,548,549
262144,214,553,553,553,556,551,562
262144,215,447,447,447,519,487,480
262144,216,384,384,384,405,451,428
262144,217,324,324,324,370,378,364
262144,218,239,239,239,315,303,327
262144,219,196,196,196,265,268,248
262144,220,125,125,125,197,190,207
262144,221,86,86,86,163,160,160
262144,222,67,67,67,132,129,130
262144,223,25,25,25,84,94,85
262144,224,9,9,9,83,65,89
262144,225,8,8,8,42,55,43
262144,226,3,3,3,37,31,32
262144,227,1,1,1,31,38,30
262144,228,0,0,0,25,20,28
262144,229,0,0,0,9,9,8
262144,230,0,0,0,13,8,9
262144,231,0,0,0,10,14,11
262144,232,0,0,0,11,11,10
262144,233,0,0,0,6,10,13
262144,234,0,0,0,16,13,14
262144,235,0,0,0,7,7,5
262144,236,0,0,0,9,9,8
262144,237,0,0,0,7,5,7
262144,238,0,0,0,11,12,8
262144,239,0,0,0,7,6,12
262144,240,0,0,0,13,12,8
262144,241,0,0,0,4,6,10
262144,242,0,0,0,12,9,11
262144,243,0,0,0,4,11,7
262144,244,0,0,0,7,7,2
262144,245,0,0,0,8,7,14
262144,246,0,0,0,11,9,5
262144,247,0,0,0,4,5,5
262144,248,0,0,0,3,1,4
262144,249,0,0,0,2,2,1
262144,250,0,0,0,4,5,4
262144,251,0,0,0,1,1,2
262144,252,0,0,0,2,0,2
262144,253,0,0,0,1,2,1
262144,254,0,0,0,3,4,3
262144,255,0,0,0,4,2,2
