Pepper
512*512,,oldRed,oldGreen,oldBlue,newRed,newGreen,newBlue
resolution,value,count,count,count,count,count,count
262144,0,1,15694,14430,15,13188,12070
262144,1,1,938,802,15,4178,3860
262144,2,0,846,744,16,1060,927
262144,3,2,940,860,16,1066,1014
262144,4,2,810,765,23,943,810
262144,5,0,819,735,24,937,906
262144,6,6,788,715,38,853,787
262144,7,6,854,813,37,881,836
262144,8,8,845,789,43,841,831
262144,9,11,888,791,55,851,823
262144,10,12,837,744,50,864,809
262144,11,13,930,773,58,823,890
262144,12,19,882,902,67,844,861
262144,13,29,890,881,76,919,908
262144,14,31,911,994,67,897,918
262144,15,36,993,1034,94,838,898
262144,16,45,900,1160,91,921,989
262144,17,53,961,1144,82,900,1034
262144,18,71,903,1069,97,923,924
262144,19,70,930,1255,110,967,1054
262144,20,92,906,1099,125,978,1071
262144,21,100,914,965,152,959,1080
262144,22,104,921,1062,154,930,1087
262144,23,128,947,1002,171,1021,1040
262144,24,115,946,1175,152,961,1218
262144,25,141,1007,991,193,1052,1301
262144,26,152,1012,910,184,1059,1360
262144,27,194,1092,1101,197,1222,1500
262144,28,231,1163,1273,210,1133,1670
262144,29,232,1163,1215,227,1225,1828
262144,30,234,1257,1586,243,1273,2039
262144,31,275,1397,1910,230,1282,2297
262144,32,265,1320,2195,238,1310,2493
262144,33,288,1380,2639,266,1358,2869
262144,34,280,1315,2805,250,1361,3115
262144,35,287,1468,3776,292,1393,3337
262144,36,334,1409,3927,287,1549,3655
262144,37,298,1456,4043,302,1514,3849
262144,38,315,1536,4782,323,1580,4025
262144,39,342,1620,5042,301,1521,4114
262144,40,316,1527,5142,294,1626,3966
262144,41,335,1661,5160,339,1710,3913
262144,42,334,1648,4194,329,1776,3901
262144,43,342,1822,4175,342,1751,3743
262144,44,387,1938,4215,378,1723,3519
262144,45,358,1891,2991,299,1929,3397
262144,46,353,1983,3062,337,1962,3079
262144,47,305,2123,2394,356,1956,2892
262144,48,325,2230,2809,348,1979,2643
262144,49,358,2139,2167,335,1908,2495
262144,50,378,2204,1819,365,1956,2243
262144,51,351,2214,2057,368,1903,2088
262144,52,359,2091,1683,361,1876,2013
262144,53,363,2083,1630,377,1819,1983
262144,54,384,2049,1637,374,1847,1927
262144,55,364,1966,1601,390,1727,1789
262144,56,363,1859,1914,382,1625,1711
262144,57,390,1702,1704,382,1549,1687
262144,58,396,1537,1550,379,1466,1682
262144,59,366,1387,1648,357,1370,1711
262144,60,409,1229,1841,359,1295,1677
262144,61,406,1099,1591,411,1198,1833
262144,62,419,965,1771,398,1117,1822
262144,63,397,965,1951,407,938,1754
262144,64,458,825,1787,440,948,1865
262144,65,408,720,1847,381,887,1860
262144,66,388,659,1742,395,803,1951
262144,67,388,645,2015,407,760,2005
262144,68,388,606,1965,402,719,2010
262144,69,389,573,1932,397,647,2097
262144,70,429,516,2093,425,662,2202
262144,71,412,568,2253,418,625,2253
262144,72,427,517,2293,421,604,2352
262144,73,449,522,2290,446,558,2453
262144,74,395,512,2236,416,545,2453
262144,75,412,527,2517,435,507,2476
262144,76,448,482,2908,478,442,2651
262144,77,400,486,2575,471,499,2681
262144,78,446,451,3050,501,475,2737
262144,79,461,528,3306,473,520,2814
262144,80,497,478,3172,532,437,2884
262144,81,451,459,3197,505,434,2877
262144,82,463,441,2977,511,450,2798
262144,83,513,477,3438,553,486,2855
262144,84,524,430,3068,564,434,2687
262144,85,563,475,2789,549,411,2757
262144,86,541,457,2943,589,479,2602
262144,87,512,413,2545,597,440,2475
262144,88,659,477,2929,635,394,2489
262144,89,587,462,2582,667,437,2365
262144,90,603,421,2081,639,432,2284
262144,91,641,475,2137,769,420,2118
262144,92,698,411,2168,740,452,2039
262144,93,696,430,1799,811,407,1941
262144,94,737,392,1785,843,433,1830
262144,95,712,457,1571,898,432,1775
262144,96,801,419,1928,941,429,1695
262144,97,858,415,1514,996,432,1559
262144,98,874,432,1305,1089,426,1476
262144,99,947,417,1479,1118,416,1456
262144,100,974,408,1308,1142,379,1439
262144,101,1098,404,1139,1208,385,1237
262144,102,1149,403,1150,1334,436,1191
262144,103,1197,403,1113,1332,424,1096
262144,104,1384,435,1037,1313,433,1052
262144,105,1419,440,1033,1412,430,1053
262144,106,1442,412,898,1487,423,965
262144,107,1508,429,871,1562,432,915
262144,108,1754,466,939,1571,439,856
262144,109,1810,386,744,1604,395,830
262144,110,1832,422,794,1695,413,801
262144,111,1768,407,665,1683,459,764
262144,112,2150,493,777,1724,454,730
262144,113,2004,490,682,1796,485,675
262144,114,2082,449,566,1819,440,714
262144,115,2212,477,615,1799,451,580
262144,116,2211,475,566,1868,492,587
262144,117,2076,481,512,2022,467,587
262144,118,2178,519,552,2007,464,554
262144,119,2085,487,441,1985,442,530
262144,120,2372,489,543,1874,474,526
262144,121,2181,484,467,1932,455,444
262144,122,2135,486,374,1896,513,442
262144,123,2148,527,390,1942,507,472
262144,124,2185,560,446,1998,541,407
262144,125,2024,559,340,1882,552,441
262144,126,2028,515,368,1950,553,371
262144,127,1693,622,398,1902,519,392
262144,128,2032,586,331,1906,506,362
262144,129,1921,546,342,1805,577,316
262144,130,1845,536,287,1912,582,319
262144,131,1798,634,348,1906,557,312
262144,132,1788,589,286,1790,552,295
262144,133,1806,544,272,1807,518,284
262144,134,1755,545,292,1780,570,293
262144,135,1710,635,287,1808,589,296
262144,136,1780,610,307,1742,611,279
262144,137,1730,593,244,1799,631,289
262144,138,1795,629,256,1842,652,231
262144,139,1702,655,236,1779,662,248
262144,140,1700,639,295,1732,592,269
262144,141,1739,626,223,1748,686,287
262144,142,1765,635,261,1632,698,267
262144,143,1772,724,267,1682,707,247
262144,144,1840,706,221,1706,679,249
262144,145,1721,686,243,1774,718,238
262144,146,1690,711,241,1713,736,243
262144,147,1765,750,276,1651,733,254
262144,148,1668,731,262,1721,733,240
262144,149,1744,747,262,1691,788,258
262144,150,1736,820,252,1558,822,265
262144,151,1698,766,238,1538,818,277
262144,152,1776,867,300,1663,864,233
262144,153,1638,903,252,1637,874,225
262144,154,1617,887,224,1561,928,249
262144,155,1511,915,245,1610,920,243
262144,156,1643,957,273,1616,916,264
262144,157,1577,937,205,1578,958,225
262144,158,1576,960,253,1556,979,246
262144,159,1560,1041,305,1520,983,236
262144,160,1570,1121,249,1600,1034,273
262144,161,1548,1045,270,1576,1027,249
262144,162,1368,1116,255,1582,1183,263
262144,163,1559,1234,272,1575,1107,245
262144,164,1461,1194,276,1628,1174,246
262144,165,1476,1162,225,1620,1244,287
262144,166,1540,1233,234,1639,1216,225
262144,167,1568,1340,245,1676,1320,232
262144,168,1597,1263,264,1694,1313,254
262144,169,1671,1289,252,1702,1357,259
262144,170,1660,1290,224,1735,1343,259
262144,171,1704,1413,252,1766,1384,231
262144,172,1835,1472,311,1740,1433,238
262144,173,1770,1438,233,1836,1564,225
262144,174,1909,1555,249,1816,1588,236
262144,175,1821,1551,216,1876,1646,231
262144,176,2153,1827,258,1902,1609,255
262144,177,2042,1816,274,1951,1707,248
262144,178,2021,1808,220,2074,1758,221
262144,179,2030,1909,252,2012,1708,225
262144,180,2112,1914,259,2099,1837,214
262144,181,2081,1957,262,2115,1832,237
262144,182,2257,1946,236,2138,1961,254
262144,183,2065,2049,217,2177,1879,252
262144,184,2360,2148,314,2247,1829,255
262144,185,2209,1990,244,2322,1976,258
262144,186,2293,1990,253,2329,1918,266
262144,187,2203,1941,286,2402,1963,267
262144,188,2529,2038,286,2418,1892,282
262144,189,2508,1852,245,2610,1932,287
262144,190,2443,1890,286,2609,2030,282
262144,191,2458,1917,282,2604,1891,283
262144,192,2748,2163,304,2740,1986,263
262144,193,2790,2046,301,2741,1998,265
262144,194,2785,1908,273,2880,1936,296
262144,195,2975,2078,356,2869,1946,276
262144,196,3067,1965,264,2950,2016,308
262144,197,3264,1833,268,2993,1998,273
262144,198,3583,1895,254,2991,1950,278
262144,199,3432,2004,281,2915,1960,290
262144,200,3485,1904,237,2870,2051,224
262144,201,3252,1984,223,2783,2120,247
262144,202,3051,2059,193,2782,2115,241
262144,203,2845,2199,160,2617,2173,230
262144,204,2601,2364,223,2478,2246,220
262144,205,2261,2319,192,2336,2299,185
262144,206,2109,2518,136,2242,2220,161
262144,207,2030,2538,173,2050,2191,175
262144,208,1869,2440,140,1995,2205,175
262144,209,1664,2263,147,1791,2113,157
262144,210,1467,1952,114,1756,1925,181
262144,211,1375,1853,148,1500,1837,158
262144,212,1168,1547,129,1412,1678,155
262144,213,1081,1362,113,1253,1545,126
262144,214,1028,1248,118,1164,1313,126
262144,215,842,1040,107,1047,1240,147
262144,216,835,1044,147,851,1038,149
262144,217,656,833,126,824,985,120
262144,218,599,722,111,747,931,147
262144,219,464,745,153,585,845,152
262144,220,462,723,156,544,829,130
262144,221,292,699,121,464,769,139
262144,222,217,760,84,365,776,122
262144,223,140,802,31,289,763,78
262144,224,117,972,16,246,735,55
262144,225,56,718,3,183,676,39
262144,226,35,547,3,142,576,29
262144,227,15,387,2,112,522,15
262144,228,8,242,1,94,410,12
262144,229,0,160,1,68,299,12
262144,230,0,136,0,47,253,6
262144,231,2,64,0,28,167,12
262144,232,0,39,0,17,137,6
262144,233,0,24,0,17,75,11
262144,234,0,11,0,6,60,6
262144,235,0,7,0,15,66,6
262144,236,0,4,0,8,41,8
262144,237,0,2,0,6,28,6
262144,238,0,0,0,5,30,4
262144,239,0,0,0,8,23,10
262144,240,0,0,0,6,17,9
262144,241,0,0,0,6,14,6
262144,242,0,0,0,1,14,8
262144,243,0,0,0,5,14,5
262144,244,0,0,0,6,8,4
262144,245,0,0,0,4,10,9
262144,246,0,0,0,1,8,7
262144,247,0,0,0,6,5,7
262144,248,0,0,0,5,5,7
262144,249,0,0,0,3,9,11
262144,250,0,0,0,0,6,4
262144,251,0,0,0,2,8,6
262144,252,0,0,0,7,10,6
262144,253,0,0,0,2,2,3
262144,254,0,0,0,2,1,2
262144,255,0,0,0,0,4,3
